INFO_2025-04-01 11:11:02,408_File: base_app.views Func: home.
INFO_2025-04-01 11:11:03,721_File: base_app.views Func: home.
INFO_2025-04-01 11:11:05,336_File: base_app.views Func: home.
INFO_2025-04-01 11:11:16,823_File: base_app.views Func: home.
INFO_2025-04-01 11:11:57,688_File: base_app.views Func: home.
INFO_2025-04-01 11:12:02,447_File: base_app.views Func: home.
INFO_2025-04-01 11:12:03,845_File: base_app.views Func: home.
INFO_2025-04-01 11:15:04,643_File: base_app.views Func: home.
INFO_2025-04-01 11:15:10,893_File: base_app.views Func: home.
INFO_2025-04-01 11:15:49,051_File: base_app.views Func: home.
INFO_2025-04-01 11:15:50,673_File: base_app.views Func: home.
INFO_2025-04-01 11:16:34,709_File: base_app.views Func: home.
INFO_2025-04-01 11:16:35,946_File: base_app.views Func: home.
INFO_2025-04-01 11:18:05,618_File: base_app.views Func: home.
INFO_2025-04-01 11:18:07,978_File: base_app.views Func: home.
INFO_2025-04-01 11:25:40,035_File: base_app.views Func: home.
INFO_2025-04-01 11:26:21,701_File: base_app.views Func: home.
INFO_2025-04-01 11:27:34,464_File: base_app.views Func: home.
INFO_2025-04-01 11:28:25,731_File: base_app.views Func: home.
INFO_2025-04-01 11:29:04,629_File: base_app.views Func: home.
INFO_2025-04-01 11:29:30,129_File: base_app.views Func: home.
INFO_2025-04-01 11:31:51,408_File: base_app.views Func: home.
INFO_2025-04-01 11:31:53,161_File: base_app.views Func: filial_home.
INFO_2025-04-01 11:31:54,369_File: base_app.views Func: home.
INFO_2025-04-01 11:32:46,647_File: base_app.views Func: home.
INFO_2025-04-01 11:32:48,108_File: base_app.views Func: home.
INFO_2025-04-01 11:33:29,614_File: base_app.views Func: home.
INFO_2025-04-01 11:33:31,483_File: base_app.views Func: home.
INFO_2025-04-01 11:34:25,972_File: base_app.views Func: home.
INFO_2025-04-01 11:34:27,339_File: base_app.views Func: home.
INFO_2025-04-01 11:34:36,686_File: base_app.views Func: home.
INFO_2025-04-01 11:34:37,728_File: base_app.views Func: filial_home.
INFO_2025-04-01 11:34:38,952_File: base_app.views Func: home.
INFO_2025-04-01 11:38:37,018_File: base_app.views Func: home.
INFO_2025-04-01 11:39:17,081_File: base_app.views Func: home.
INFO_2025-04-01 11:40:14,754_File: base_app.views Func: home.
INFO_2025-04-01 11:40:31,056_File: base_app.views Func: home.
INFO_2025-04-01 11:42:04,138_File: base_app.views Func: home.
INFO_2025-04-01 11:42:50,006_File: base_app.views Func: home.
INFO_2025-04-01 11:42:54,104_File: base_app.views Func: home.
INFO_2025-04-01 11:43:18,695_File: base_app.views Func: home.
INFO_2025-04-01 11:43:20,487_File: base_app.views Func: home.
INFO_2025-04-01 11:44:27,187_File: base_app.views Func: home.
INFO_2025-04-01 11:44:51,764_File: base_app.views Func: home.
INFO_2025-04-01 11:45:18,380_File: base_app.views Func: home.
INFO_2025-04-01 11:45:19,641_File: base_app.views Func: home.
INFO_2025-04-01 11:45:53,994_File: base_app.views Func: home.
INFO_2025-04-01 11:46:00,630_File: base_app.views Func: home.
INFO_2025-04-01 11:51:37,067_File: base_app.views Func: home.
INFO_2025-04-01 11:51:44,102_File: base_app.views Func: home.
INFO_2025-04-01 11:57:07,016_File: base_app.views Func: home.
INFO_2025-04-01 11:57:09,171_File: base_app.views Func: home.
INFO_2025-04-01 11:58:23,436_File: base_app.views Func: home.
INFO_2025-04-01 11:58:24,915_File: base_app.views Func: home.
INFO_2025-04-01 11:59:43,011_File: base_app.views Func: home.
INFO_2025-04-01 11:59:44,772_File: base_app.views Func: home.
INFO_2025-04-01 12:01:14,553_File: base_app.views Func: home.
INFO_2025-04-01 12:01:16,232_File: base_app.views Func: home.
INFO_2025-04-01 12:01:42,483_File: base_app.views Func: home.
INFO_2025-04-01 12:01:44,203_File: base_app.views Func: home.
INFO_2025-04-01 12:01:50,892_File: base_app.views Func: home.
INFO_2025-04-01 12:01:58,615_File: base_app.views Func: home.
INFO_2025-04-01 12:02:03,346_File: base_app.views Func: home.
INFO_2025-04-01 12:02:30,399_File: base_app.views Func: home.
INFO_2025-04-01 12:03:02,535_File: base_app.views Func: home.
INFO_2025-04-01 12:03:10,423_File: base_app.views Func: home.
INFO_2025-04-01 12:03:24,581_File: base_app.views Func: home.
INFO_2025-04-01 12:03:56,397_File: base_app.views Func: home.
INFO_2025-04-01 12:04:04,253_File: base_app.views Func: home.
INFO_2025-04-01 12:05:15,245_File: base_app.views Func: home.
INFO_2025-04-01 12:05:18,765_File: base_app.views Func: home.
INFO_2025-04-01 12:05:27,405_File: base_app.views Func: home.
INFO_2025-04-01 12:06:00,060_File: base_app.views Func: home.
INFO_2025-04-01 12:06:12,814_File: base_app.views Func: home.
INFO_2025-04-01 12:06:37,757_File: base_app.views Func: home.
INFO_2025-04-01 12:06:39,210_File: base_app.views Func: home.
INFO_2025-04-01 12:06:57,124_File: base_app.views Func: home.
INFO_2025-04-01 12:07:03,756_File: base_app.views Func: home.
INFO_2025-04-01 12:07:16,305_File: base_app.views Func: home.
INFO_2025-04-01 12:07:18,118_File: base_app.views Func: home.
INFO_2025-04-01 12:07:30,235_File: base_app.views Func: home.
INFO_2025-04-01 12:07:31,423_File: base_app.views Func: filial_home.
INFO_2025-04-01 12:07:33,199_File: base_app.views Func: home.
INFO_2025-04-01 12:10:03,281_File: base_app.views Func: home.
INFO_2025-04-01 12:10:10,082_File: base_app.views Func: home.
INFO_2025-04-01 12:10:20,513_File: base_app.views Func: home.
INFO_2025-04-01 12:10:21,949_File: base_app.views Func: home.
INFO_2025-04-01 12:10:28,089_File: base_app.views Func: home.
INFO_2025-04-01 12:10:28,699_File: base_app.views Func: filial_home.
INFO_2025-04-01 12:10:30,445_File: base_app.views Func: home.
INFO_2025-04-01 12:13:55,120_File: base_app.views Func: home.
INFO_2025-04-01 12:14:09,065_File: base_app.views Func: home.
INFO_2025-04-01 12:14:16,528_File: base_app.views Func: home.
INFO_2025-04-01 12:14:35,781_File: base_app.views Func: home.
INFO_2025-04-01 12:14:38,364_File: base_app.views Func: home.
INFO_2025-04-01 12:14:47,132_File: base_app.views Func: home.
